BIN,country_name,card_brand,card_type,card_level,issuer_name,country_code2,is_valid
400197,UNITED STATES,VISA,DEBIT,CLASSIC,JESSOP COMMUNITY FEDERAL CREDIT UNION,US,True
400202,UNITED STATES,VISA,CREDIT,,JHA PAYMENT PROCESSING SOLUTIONS,US,False
400205,UNITED STATES,VISA,CREDIT,TRADITIONAL,"WELLS FARGO BANK, NATIONAL ASSOCIATION",US,False
400206,UNITED STATES,VISA,DEBIT,PREPAID CLASSIC,HUDSON VALLEY CREDIT UNION,US,False
400207,UNITED STATES,VISA,CREDIT,,,US,False
400209,UNITED STATES,VISA,DEBIT,BUSINESS,HOMESTEAD BANK,US,True
400210,UNITED STATES,VISA,CREDIT,,,US,False
400218,UNITED STATES,VISA,DEBIT,CLASSIC,BEACON CREDIT UNION,US,True
400220,UNITED STATES,VISA,CREDIT,TRADITIONAL,"WELLS FARGO BANK, NATIONAL ASSOCIATION",US,False
400224,UNITED STATES,VISA,CREDIT,,,US,False
400226,UNITED STATES,VISA,DEBIT,CLASSIC,BLACKHAWK COMMUNITY CREDIT UNION,US,True
400229,UNITED STATES,VISA,CREDIT,BUSINESS,"CAPITAL ONE, NATIONAL ASSOCIATION",US,True
400231,UNITED STATES,VISA,DEBIT,CLASSIC,NBKC BANK,US,True
400232,UNITED STATES,VISA,DEBIT,CLASSIC,"COMMERCE BANCSHARES, INC.",US,True
400233,UNITED STATES,VISA,CREDIT,,,US,False
400236,UNITED STATES,VISA,CREDIT,CLASSIC,MERITRUST FEDERAL CREDIT UNION,US,True
400237,UNITED STATES,VISA,CREDIT,TRADITIONAL,NEIGHBORHOOD CREDIT UNION,US,True
400239,UNITED STATES,VISA,DEBIT,CLASSIC,LINEAGE BANK,US,True
400241,UNITED STATES,VISA,DEBIT,CLASSIC,GRASSLANDS FEDERAL CREDIT UNION,US,True
400242,UNITED STATES,VISA,CREDIT,CLASSIC,,US,False
400243,UNITED STATES,VISA,CREDIT,BUSINESS,NEIGHBORHOOD CREDIT UNION,US,False
400245,UNITED STATES,VISA,DEBIT,BUSINESS,MERITRUST FEDERAL CREDIT UNION,US,False
400249,UNITED STATES,VISA,DEBIT,CLASSIC,FAYETTE FEDERAL EMPLOYEES FEDERAL CREDIT UNION,US,True
400250,UNITED STATES,VISA,CREDIT,,,US,False
400251,UNITED STATES,VISA,CREDIT,TRADITIONAL,I-C FEDERAL CREDIT UNION,US,True
400255,UNITED STATES,VISA,DEBIT,BUSINESS,FIRE FIGHTERS CREDIT UNION,US,False
400257,UNITED STATES,VISA,CREDIT,TRADITIONAL REWARDS,"WRIGHT-PATT CREDIT UNION, INC.",US,True
400262,UNITED STATES,VISA,DEBIT,CLASSIC,PACE RESOURCES FEDERAL CREDIT UNION,US,True
400263,UNITED STATES,VISA,CREDIT,BUSINESS,OAKSTAR BANK,US,False
